OBJECTID,ULAND,UREGBEZ,UKREIS,UGEMEINDE,UJAHR,UMONAT,USTUNDE,UWOCHENTAG,UKATEGORIE,UART,UTYP1,ULICHTVERH,IstRad,IstPKW,IstFuss,IstKrad,IstGkfz,IstSonstig,LINREFX,LINREFY,XGCSWGS84,YGCSWGS84,STRZUSTAND
"49202","11","0","01","001","2019","03","17","7","3","2","7","1","1","1","0","0","0","0",798880.65663400001,5828063.98593000043,13.40605465000,52.52053725300,"0"
"49205","11","0","10","010","2019","01","18","4","3","2","6","2","0","1","0","0","0","0",808464.09716600005,5832381.08808999974,13.55086289400,52.55389005400,"1"
"49206","11","0","01","001","2019","02","16","5","3","0","6","0","1","1","0","0","0","0",795888.37569100002,5829545.26157999970,13.36340079800,52.53544741500,"0"
"49209","11","0","07","007","2019","01","13","4","3","5","3","0","0","1","0","0","1","0",795168.55423100002,5822981.69543999992,13.34699956300,52.47700020900,"0"
"49210","11","0","03","003","2019","01","14","2","3","0","2","1","1","1","0","0","0","0",799219.35184300004,5831430.52422999963,13.41406255200,52.55052736500,"0"
"49216","11","0","10","010","2019","03","16","3","3","5","2","0","0","1","0","0","0","0",812048.08480600000,5827139.68150999956,13.59863514400,52.50487964600,"0"
"49219","11","0","08","008","2019","01","03","4","3","3","6","2","0","1","0","0","1","0",802207.38717899995,5821926.65431999974,13.44937041900,52.46369459500,"1"
"49222","11","0","02","002","2019","01","04","3","3","2","6","2","0","1","0","0","0","0",797332.49392399995,5825588.42344000004,13.38109312600,52.49919298600,"1"
"49223","11","0","06","006","2019","01","11","3","2","5","2","0","0","1","0","0","0","0",794018.69099999999,5821046.74899999984,13.32841278800,52.46027449800,"1"
"49228","11","0","04","004","2019","01","05","3","3","9","1","2","0","1","0","0","0","0",790313.04731399997,5825487.57993000094,13.27789305300,52.50206856100,"1"
"49229","11","0","01","001","2019","02","10","4","1","5","2","0","1","0","0","0","1","0",799571.01199999999,5828269.92899999954,13.41638443100,52.52200439900,"0"
"49232","11","0","02","002","2019","01","02","3","3","2","6","2","0","1","0","0","0","0",797777.95764200005,5825474.65500000026,13.38753427400,52.49793029900,"1"
"49233","11","0","07","007","2019","01","21","7","3","2","6","2","0","1","0","0","0","0",797845.73234999995,5822074.49785999954,13.38549192900,52.46741480100,"1"
"49236","11","0","07","007","2019","01","14","6","3","5","2","0","1","1","0","0","0","0",797550.08799999999,5818304.14499999955,13.37779381900,52.43377847500,"0"
"49238","11","0","09","009","2019","01","02","3","3","2","4","2","0","1","1","0","0","0",802731.59739799995,5825212.33602000028,13.46004576400,52.49285397700,"1"
"49239","11","0","03","003","2019","02","18","5","3","2","6","2","0","1","0","0","0","0",800337.57641500002,5830029.63437000103,13.42923843900,52.53735546200,"0"
"49248","11","0","03","003","2019","02","15","6","3","6","2","0","0","1","1","0","0","0",801322.95690200001,5830980.63380999956,13.44458545000,52.54533542100,"0"
"49250","11","0","04","004","2019","03","12","6","3","5","2","0","0","0","0","1","0","1",793299.80037399998,5826818.80764999893,13.32294171900,52.51240525200,"0"
"49254","11","0","02","002","2019","02","20","4","3","2","6","2","1","0","0","0","0","0",802738.93670099997,5827670.92810000014,13.46238891100,52.51488607700,"0"
"49258","11","0","07","007","2019","01","23","7","2","9","1","2","0","1","0","0","0","0",798906.98262300005,5821904.27049000096,13.40091536400,52.46530936200,"1"
"49264","11","0","07","007","2019","02","06","2","3","2","6","0","0","1","0","0","0","1",797846.44492200005,5822349.19132000022,13.38574760400,52.46987673600,"0"
"49273","11","0","01","001","2019","02","16","2","3","5","7","0","0","1","0","0","0","0",796048.20989599999,5831337.49332999904,13.36734766400,52.55142619600,"0"
"49277","11","0","03","003","2019","02","18","4","3","6","4","1","1","0","1","0","0","0",799173.14086100005,5830789.64778000023,13.41280572600,52.54480828900,"0"
"49283","11","0","04","004","2019","01","13","6","3","2","6","0","0","1","0","0","0","0",790637.07976200001,5825050.80664000008,13.28227215500,52.49798036200,"0"
"49286","11","0","03","003","2019","02","19","3","3","1","5","2","1","1","0","0","0","0",800375.41473099997,5830010.80965000018,13.42977763300,52.53716587800,"0"
"49289","11","0","01","001","2019","03","14","7","3","4","6","0","1","1","0","0","0","0",797242.26489500003,5826765.30697999988,13.38081852700,52.50979160800,"1"
"49297","11","0","06","006","2019","01","19","5","2","6","4","2","0","1","1","0","0","0",782355.40628300002,5815729.75776000042,13.15271905100,52.41875051500,"1"
"49299","11","0","02","002","2019","02","13","5","3","5","3","0","1","0","0","0","0","0",801808.57443200005,5826347.66071000043,13.44752047500,52.50354113800,"0"
"49303","11","0","07","007","2019","02","16","3","3","2","6","0","0","1","0","0","0","0",795761.95400000003,5823111.60300000012,13.35582647900,52.47784370900,"0"
"49307","11","0","03","003","2019","01","12","3","3","5","2","0","1","0","0","0","1","0",800973.43476500001,5830485.58071000036,13.43899822200,52.54109138900,"0"
"49312","11","0","01","001","2019","02","22","7","3","2","6","2","0","1","0","0","0","0",798054.75404399994,5827659.62555999961,13.39355598100,52.51736473000,"0"
"49321","11","0","07","007","2019","02","08","5","2","6","2","0","0","1","1","0","0","0",795753.51500000001,5823099.57100000046,13.35569191300,52.47774042100,"0"
"49323","11","0","01","001","2019","03","22","5","3","2","2","2","1","0","0","0","0","1",798782.39159500005,5827998.14075000025,13.40455155100,52.52000089300,"0"
"49330","11","0","04","004","2019","01","07","4","3","3","6","1","0","1","0","0","0","0",790430.95975799998,5828269.05260000005,13.28205306500,52.52694190000,"1"
"49337","11","0","03","003","2019","02","14","7","3","5","3","0","1","1","0","0","0","0",801544.95499999996,5831193.72656999901,13.44804271800,52.54712255300,"0"
"49338","11","0","02","002","2019","03","07","6","3","1","1","0","0","1","0","0","0","0",797741.47844700003,5824501.89448000025,13.38612915300,52.48923052900,"0"
"49345","11","0","06","006","2019","01","12","4","2","2","6","0","0","1","0","0","0","0",785966.73661000002,5816632.55551999994,13.20644969400,52.42497000400,"1"
"49350","11","0","04","004","2019","02","18","1","3","2","6","2","0","1","0","0","0","0",793068.55937699997,5829585.48288000003,13.32198225700,52.53733162700,"0"
"49354","11","0","07","007","2019","01","07","2","3","2","6","2","0","1","0","0","0","0",799305.93375199998,5816197.57462999970,13.40165992800,52.41393778500,"1"
"49360","11","0","04","004","2019","02","14","7","3","3","6","0","0","1","0","0","0","1",790075.44923000003,5826321.71791000105,13.27512934400,52.50967309600,"0"
"49370","11","0","04","004","2019","02","19","4","3","2","6","2","0","1","0","0","0","0",791990.40418199997,5826616.30147000030,13.30352415800,52.51129234700,"0"
"49372","11","0","04","004","2019","03","12","4","3","2","6","0","0","1","0","0","0","0",790516.42900000000,5826393.68099999987,13.28167161000,52.51008357800,"0"
"49379","11","0","01","001","2019","01","12","3","3","3","6","0","1","1","0","0","0","0",799038.74027600000,5827532.03399000037,13.40789945000,52.51568241000,"0"
"49385","11","0","04","004","2019","02","09","5","3","5","7","0","0","1","0","1","0","0",792362.01343599998,5826678.44469000027,13.30903892300,52.51165039700,"0"
